dateAdded,dateUpdated,url,name,description,documentation,license,maintainer,areaServed,startDate,endDate,provider
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Address Lookup,"DWP single, strategic solution for looking up addresses including fuzzy search and UPRN.",https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Award Details,Details the amount of benefit awarded to a person within a specified period of time.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Bank Wizard,Verifies and validates bank account details.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Calculate Earnings,Carries out calculation for claimants DWP has an active earning interest for.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Calculate Earnings by Payday,Allows to determine which earning records are to be excluded or included in calculations for a claimant.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Citizen Address,Details all current (and optionally historic) address linked to a person.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Citizen Claims,"Provides a list of claims (and where relevant, which components) a person is entitled to.",https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Close Records,Allows for the closure of document records.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Contact Details Verification,Verifies if there is a match between the supplied details and DWP records.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
2024-04-23,2024-04-23,https://api.engineering.dwp.gov.uk,Copy Document References,Allows for the copying of documents to a target benefit area.,https://engineering.dwp.gov.uk/apis/docs,,integration.technologyplatforms@dwp.gsi.gov.uk,,,,Department for Work and Pensions
