id,name,alternateName,url
government-digital-service,Government Digital Service,GDS,
office-of-national-statistics,Office of National Statistics,ONS,
driver-and-vehicle-licensing-agency,Driver and Vehicle Licensing Agency,DVLA,
companies-house,Companies House,CH,
ordnance-survey,Ordnance Survey,OS,
national-health-service,National Health Service,NHS,
environment-agency,Environment Agency,EA,
food-standards-agency,Food Standards Agency,FSA,
scottish-government,Scottish Government,Scot,
department-for-education,Department for Education,DfE,
department-of-work-and-pensions,Department of Work and Pensions,DWP,
london-borough-of-hackney,London Borough of Hackney,Hackney,
local-government-association,Local Government Association,LGA,
west-berkshire-council,West Berkshire Council,WBerks,
hm-revenue-customs,HM Revenue & Customs,HMRC,
uk-hydrographic-office,UK Hydrographic Office,UKHO,
department-for-international-trade,Department for International Trade,DfIT,
west-midlands-combined-authority,West Midlands Combined Authority,WMCA,
the-national-archives,The National Archives,TNA,
ministry-of-justice,Ministry of Justice,MOJ,
transport-for-london,Transport for London,TfL,
uk-police,UK Police,UKP,
ministry-for-housing-communities-and-local-government,"Ministry for Housing, Communities and Local Government",MHCLG,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government
defra,"Department for Environment, Food and Rural Affairs",Defra,https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
